trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.01, 'e': 0.07464587607443561}",25,6,21.635634630705233,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.0735345437630571}",25,19,11.487496140892137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.07243975703425146}",20,0,29.36014638263912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.07136126955638608}",25,6,15.449696557533686,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.07029883866522847}",20,12,2.631403348094186,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.069252225309346}",30,3,32.884993872245985,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.06822119399631812}",20,16,5.954499858648547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.06720551273974978}",20,0,26.253412709314503,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.06620495300707324}",20,4,-11.602775771525739,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.01, 'e': 0.06521928966812753}",30,20,15.809459940115714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
